Date,Total Domestic Production,Total Import,Grand Total
1986-01-28,370,0,370
1986-02-28,349,0,349
1986-03-28,373,0,373
1986-04-28,352,0,352
1986-05-28,362,0,362
1986-06-28,343,0,343
1986-07-28,331,0,331
1986-08-28,322,0,322
1986-09-28,308,0,308
1986-10-28,353,0,353
1986-11-28,356,0,356
1986-12-28,379,0,379
1987-01-28,398,0,398
1987-02-28,429,0,429
1987-03-28,443,0,443
1987-04-28,438,0,438
1987-05-28,463,0,463
1987-06-28,557,0,557
1987-07-28,523,0,523
1987-08-28,515,0,515
1987-09-28,565,0,565
1987-10-28,525,0,525
1987-11-28,512,0,512
1987-12-28,505,0,505
1988-01-28,549,0,549
1988-02-28,575,0,575
1988-03-28,567,0,567
1988-04-28,554,0,554
1988-05-28,581,0,581
1988-06-28,603,0,603
1988-07-28,581,0,581
1988-08-28,595,0,595
1988-09-28,592,0,592
1988-10-28,593,0,593
1988-11-28,566,0,566
1988-12-28,583,0,583
1989-01-28,590,0,590
1989-02-28,565,0,565
1989-03-28,584,0,584
1989-04-28,586,0,586
1989-05-28,565,0,565
1989-06-28,588,0,588
1989-07-28,570,0,570
1989-08-28,572,0,572
1989-09-28,558,0,558
1989-10-28,578,0,578
1989-11-28,584,0,584
1989-12-28,609,0,609
1990-01-28,595,0,595
1990-02-28,616,0,616
1990-03-28,616,0,616
1990-04-28,613,0,613
1990-05-28,610,0,610
1990-06-28,629,0,629
1990-07-28,616,0,616
1990-08-28,630,0,630
1990-09-28,652,0,652
1990-10-28,657,0,657
1990-11-28,643,0,643
1990-12-28,691,0,691
1991-01-28,735,0,735
1991-02-28,796,0,796
1991-03-28,817,0,817
1991-04-28,781,0,781
1991-05-28,794,0,794
1991-06-28,755,0,755
1991-07-28,805,0,805
1991-08-28,814,0,814
1991-09-28,795,0,795
1991-10-28,778,0,778
1991-11-28,779,0,779
1991-12-28,741,0,741
1992-01-28,740,0,740
1992-02-28,749,0,749
1992-03-28,739,0,739
1992-04-28,796,0,796
1992-05-28,816,0,816
1992-06-28,839,0,839
1992-07-28,836,0,836
1992-08-28,874,0,874
1992-09-28,908,0,908
1992-10-28,863,0,863
1992-11-28,906,0,906
1992-12-28,912,0,912
1993-01-28,903,0,903
1993-02-28,978,0,978
1993-03-28,945,0,945
1993-04-28,941,0,941
1993-05-28,957,0,957
1993-06-28,956,0,956
1993-07-28,944,0,944
1993-08-28,874,0,874
1993-09-28,945,0,945
1993-10-28,937,0,937
1993-11-28,946,0,946
1993-12-28,945,0,945
1994-01-28,948,0,948
1994-02-28,976,0,976
1994-03-28,948,0,948
1994-04-28,988,0,988
1994-05-28,985,0,985
1994-06-28,1034,0,1034
1994-07-28,1086,0,1086
1994-08-28,1096,0,1096
1994-09-28,1089,0,1089
1994-10-28,1087,0,1087
1994-11-28,1109,0,1109
1994-12-28,1103,0,1103
1995-01-28,1099,0,1099
1995-02-28,1117,0,1117
1995-03-28,1122,0,1122
1995-04-28,1074,0,1074
1995-05-28,1076,0,1076
1995-06-28,1063,0,1063
1995-07-28,1087,0,1087
1995-08-28,1113,0,1113
1995-09-28,1082,0,1082
1995-10-28,1122,0,1122
1995-11-28,1115,0,1115
1995-12-28,1120,0,1120
1996-01-28,1106,0,1106
1996-02-28,1091,0,1091
1996-03-28,1095,0,1095
1996-04-28,1188,0,1188
1996-05-28,1263,0,1263
1996-06-28,1251,0,1251
1996-07-28,1296,0,1296
1996-08-28,1250,0,1250
1996-09-28,1326,0,1326
1996-10-28,1454,0,1454
1996-11-28,1469,0,1469
1996-12-28,1404,0,1404
1997-01-28,1485,0,1485
1997-02-28,1507,0,1507
1997-03-28,1521,0,1521
1997-04-28,1447,0,1447
1997-05-28,1466,0,1466
1997-06-28,1635,0,1635
1997-07-28,1618,0,1618
1997-08-28,1627,0,1627
1997-09-28,1594,0,1594
1997-10-28,1630,0,1630
1997-11-28,1627,0,1627
1997-12-28,1604,0,1604
1998-01-28,1503,0,1503
1998-02-28,1642,0,1642
1998-03-28,1688,0,1688
1998-04-28,1503,0,1503
1998-05-28,1730,0,1730
1998-06-28,1735,0,1735
1998-07-28,1739,0,1739
1998-08-28,1763,10,1773
1998-09-28,1723,0,1723
1998-10-28,1815,4,1819
1998-11-28,1819,8,1827
1998-12-28,1706,3,1708
1999-01-28,1713,0,1713
1999-02-28,1672,6,1677
1999-03-28,1899,0,1899
1999-04-28,1764,0,1764
1999-05-28,1825,0,1825
1999-06-28,1917,0,1917
1999-07-28,1830,0,1830
1999-08-28,1905,0,1905
1999-09-28,1885,2,1887
1999-10-28,2016,2,2018
1999-11-28,2016,8,2024
1999-12-28,1861,1,1862
2000-01-28,1969,51,2019
2000-02-28,1974,50,2024
2000-03-28,2013,33,2046
2000-04-28,1909,17,1927
2000-05-28,2047,101,2147
2000-06-28,2047,131,2178
2000-07-28,1953,167,2120
2000-08-28,1925,180,2105
2000-09-28,1885,256,2141
2000-10-28,1998,230,2228
2000-11-28,1892,324,2216
2000-12-28,1765,428,2194
2001-01-28,1741,464,2205
2001-02-28,1808,477,2285
2001-03-28,1942,480,2423
2001-04-28,1965,577,2543
2001-05-28,2066,463,2529
2001-06-28,2077,452,2529
2001-07-28,1995,509,2505
2001-08-28,1893,546,2440
2001-09-28,1891,555,2446
2001-10-28,1887,528,2415
2001-11-28,1827,452,2279
2001-12-28,1703,449,2152
2002-01-28,1765,486,2251
2002-02-28,1917,574,2490
2002-03-28,2068,555,2623
2002-04-28,2040,498,2538
2002-05-28,2046,664,2709
2002-06-28,2069,693,2763
2002-07-28,2096,696,2792
2002-08-28,2117,640,2757
2002-09-28,2077,604,2682
2002-10-28,1991,655,2646
2002-11-28,1830,686,2517
2002-12-28,1813,648,2461
2003-01-28,1856,621,2477
2003-02-28,1997,609,2606
2003-03-28,2057,724,2781
2003-04-28,2061,759,2820
2003-05-28,2096,740,2836
2003-06-28,2126,704,2830
2003-07-28,2151,739,2890
2003-08-28,2146,703,2849
2003-09-28,2143,719,2862
2003-10-28,2138,758,2897
2003-11-28,2088,664,2751
2003-12-28,2061,484,2545
2004-01-28,2059,459,2518
2004-02-28,2015,569,2584
2004-03-28,2144,771,2915
2004-04-28,2093,770,2863
2004-05-28,2154,758,2912
2004-06-28,2153,762,2915
2004-07-28,2170,772,2942
2004-08-28,2191,763,2953
2004-09-28,2256,770,3026
2004-10-28,2323,788,3111
2004-11-28,2239,801,3040
2004-12-28,2088,728,2816
2005-01-28,2194,781,2975
2005-02-28,2278,890,3168
2005-03-28,2323,882,3206
2005-04-28,2070,896,2965
2005-05-28,2304,910,3214
2005-06-28,2396,919,3316
2005-07-28,2375,854,3229
2005-08-28,2395,871,3266
2005-09-28,2364,837,3201
2005-10-28,2236,874,3110
2005-11-28,2327,858,3185
2005-12-28,2239,717,2956
2006-01-28,2345,692,3037
2006-02-28,2356,767,3123
2006-03-28,2396,930,3325
2006-04-28,2309,840,3150
2006-05-28,2346,943,3289
2006-06-28,2378,941,3319
2006-07-28,2358,886,3244
2006-08-28,2342,925,3267
2006-09-28,2364,913,3277
2006-10-28,2344,867,3211
2006-11-28,2405,932,3337
2006-12-28,2291,792,3083
2007-01-28,2370,823,3193
2007-02-28,2401,875,3275
2007-03-28,2511,952,3462
2007-04-28,2486,853,3340
2007-05-28,2633,946,3579
2007-06-28,2627,954,3581
2007-07-28,2601,890,3492
2007-08-28,2615,895,3510
2007-09-28,2504,963,3467
2007-10-28,2511,960,3472
2007-11-28,2454,939,3393
2007-12-28,2455,818,3273
2008-01-28,2546,781,3328
2008-02-28,2544,927,3471
2008-03-28,2611,972,3582
2008-04-28,2823,691,3513
2008-05-28,3001,828,3829
2008-06-28,2992,828,3820
2008-07-28,2944,867,3811
2008-08-28,2969,886,3855
2008-09-28,2856,913,3769
2008-10-28,2835,855,3690
2008-11-28,2550,738,3288
2008-12-28,2658,647,3305
2009-01-28,2881,323,3204
2009-02-28,2754,752,3506
2009-03-28,3038,667,3705
2009-04-28,2801,798,3598
2009-05-28,3146,902,4048
2009-06-28,3022,928,3950
2009-07-28,2898,861,3759
2009-08-28,2935,944,3879
2009-09-28,3041,933,3974
2009-10-28,3017,974,3991
2009-11-28,3097,943,4040
2009-12-28,3232,622,3854
2010-01-28,3191,764,3955
2010-02-28,3267,978,4245
2010-03-28,3634,675,4309
2010-04-28,3377,903,4280
2010-05-28,3458,933,4391
2010-06-28,3678,869,4547
2010-07-28,3431,902,4332
2010-08-28,3561,849,4411
2010-09-28,3604,921,4525
2010-10-28,3669,847,4516
2010-11-28,3620,790,4410
2010-12-28,3563,822,4386
2011-01-28,3678,622,4299
2011-02-28,3760,791,4551
2011-03-28,3884,838,4722
2011-04-28,3670,867,4537
2011-05-28,3785,1045,4830
2011-06-28,3650,1194,4844
2011-07-28,3218,1177,4395
2011-08-28,3400,1229,4629
2011-09-28,3507,1083,4590
2011-10-28,3279,830,4109
2011-11-28,3444,836,4280
2011-12-28,3660,620,4280
2012-01-28,3892,707,4599
2012-02-28,3593,917,4510
2012-03-28,3846,1118,4963
2012-04-28,3864,571,4434
2012-05-28,3944,945,4889
2012-06-28,3901,1161,5062
2012-07-28,4267,1040,5307
2012-08-28,4038,971,5009
2012-09-28,4077,924,5001
2012-10-28,4122,1039,5161
2012-11-28,4313,1019,5332
2012-12-28,4076,981,5057
2013-01-28,3965,952,4917
2013-02-28,4135,881,5016
2013-03-28,4185,1193,5378
2013-04-28,4111,893,5004
2013-05-28,4257,965,5222
2013-06-28,4050,1120,5170
2013-07-28,4172,1146,5318
2013-08-28,3946,948,4894
2013-09-28,3852,989,4841
2013-10-28,4020,1139,5159
2013-11-28,4038,1014,5052
2013-12-28,3803,903,4706
2014-01-28,4203,544,4747
2014-02-28,4243,822,5065
2014-03-28,4285,934,5219
2014-04-28,3959,1095,5054
2014-05-28,4151,1112,5263
2014-06-28,3985,1082,5067
2014-07-28,3898,939,4836
2014-08-28,3922,1256,5178
2014-09-28,3880,1203,5083
2014-10-28,4194,1166,5360
2014-11-28,4186,1211,5398
2014-12-28,3975,929,4904
2015-01-28,3878,1056,4934
2015-02-28,3825,1317,5141
2015-03-28,4185,1311,5496
2015-04-28,3958,983,4942
2015-05-28,3707,1616,5323
2015-06-28,3812,1262,5074
2015-07-28,3800,1469,5269
2015-08-28,3838,1286,5124
2015-09-28,3718,1291,5009
2015-10-28,3727,1212,4939
2015-11-28,3951,1260,5212
2015-12-28,3800,1078,4878
2016-01-28,3962,1001,4963
2016-02-28,3885,1070,4954
2016-03-28,3753,1366,5119
2016-04-28,3936,1127,5063
2016-05-28,3690,1632,5322
2016-06-28,3561,1361,4922
2016-07-28,3890,1188,5078
2016-08-28,3641,1199,4841
2016-09-28,3757,1399,5157
2016-10-28,3752,1244,4995
2016-11-28,3706,1325,5031
2016-12-28,3663,1070,4733
2017-01-28,3777,1350,5127
2017-02-28,3603,1327,4929
2017-03-28,3788,1412,5199
2017-04-28,3350,1459,4809
2017-05-28,3692,1539,5232
2017-06-28,3430,1604,5035
2017-07-28,3213,1462,4675
2017-08-28,3596,1316,4912
2017-09-28,3577,1417,4995
2017-10-28,3862,1363,5225
2017-11-28,3930,968,4898
2017-12-28,3578,1077,4654
2018-01-28,3701,1150,4851
2018-02-28,3594,1259,4853
2018-03-28,3521,1343,4864
2018-04-28,3381,1460,4841
2018-05-28,3553,1484,5037
2018-06-28,3631,1631,5262
2018-07-28,3499,1433,4932
2018-08-28,3375,1534,4909
2018-09-28,3115,1532,4647
2018-10-28,3694,1391,5085
2018-11-28,3804,1367,5172
2018-12-28,3456,1035,4490
2019-01-28,3274,1391,4665
2019-02-28,3500,1571,5072
2019-03-28,3799,1267,5066
2019-04-28,3691,1378,5069
2019-05-28,3652,1779,5431
2019-06-28,3664,1431,5096
2019-07-28,3519,1440,4959
2019-08-28,3673,1448,5121
2019-09-28,3451,1491,4943
2019-10-28,3723,1228,4951
2019-11-28,3842,1429,5271
2019-12-28,3683,893,4577
2020-01-28,3561,1286,4847
2020-02-28,3426,1510,4936
2020-03-28,3560,1526,5086
2020-04-28,2995,1462,4457
2020-05-28,2933,1524,4457
2020-06-28,2897,1618,4515
2020-07-28,3054,1681,4735
2020-08-28,3226,1349,4575
2020-09-28,3349,1536,4885
2020-10-28,3416,1329,4745
2020-11-28,3400,1278,4678
2020-12-28,3322,1159,4481
2021-01-28,3513,1088,4600
2021-02-28,3576,1516,5092
2021-03-28,3646,1695,5342
2021-04-28,3418,1426,4844
2021-05-28,3393,1844,5237
2021-06-28,3484,1680,5164
2021-07-28,2779,1596,4375
2021-08-28,3020,1308,4328
2021-09-28,3075,1419,4493
2021-10-28,2892,1628,4520
2021-11-28,2920,1650,4570
2021-12-28,2772,1411,4183
2022-01-28,2725,1351,4076
2022-02-28,2795,924,3719
2022-03-28,2877,2106,4983
2022-04-28,2843,1497,4340
2022-05-28,2662,2041,4702
2022-06-28,2634,1744,4378
2022-07-28,2497,1768,4265
2022-08-28,2434,1736,4170
2022-09-28,2485,1790,4275
2022-10-28,2575,1682,4257
2022-11-28,2639,1372,4011
2022-12-28,2623,1430,4053
2023-01-28,2692,1487,4178
2023-02-28,2670,1897,4567
2023-03-28,2460,2022,4481
2023-04-28,2591,2059,4650
2023-05-28,2548,2548,5096
2023-06-28,2631,2505,5136
2023-07-28,2760,2247,5008
2023-08-28,2716,2068,4783
2023-09-28,2539,2172,4711
2023-10-28,2757,1838,4595
2023-11-28,2738,1711,4450
2023-12-28,2736,1575,4310